metric,ubt_median,pbt_median,pbt_over_ubt,log_ratio
rpc_duration_eth_getTransactionCount_success {quantile=0.95},427194.3749999994,570138.4249999995,1.3346112644858683,0.2886400617978221
chain_crossvalidation {quantile=0.75},150.625,199.625,1.325311203319502,0.28164730229025703
chain_write {quantile=0.95},1199529.0,906618.5,0.755812072905282,-0.27996251451705456
chain_write {quantile=0.9999},1199529.0,906618.5,0.755812072905282,-0.27996251451705456
chain_write {quantile=0.999},1199529.0,906618.5,0.755812072905282,-0.27996251451705456
chain_write {quantile=0.99},1199529.0,906618.5,0.755812072905282,-0.27996251451705456
chain_write {quantile=0.5},154802.0,117199.25,0.7570913166496557,-0.2782714031637761
txpool_reorgtime {quantile=0.9999},1645628.0,2152866.5,1.3082339994214975,0.2686781356748421
txpool_reorgtime {quantile=0.999},1645628.0,2152866.5,1.3082339994214975,0.2686781356748421
txpool_reorgtime {quantile=0.99},1645628.0,2152866.5,1.3082339994214975,0.2686781356748421
chain_account_reads_cache_process_hit,25.5,32.5,1.2745098039215685,0.24256163717131127
state_update_accountnodes,157.5,124.0,0.7873015873015873,-0.23914389266065092
rpc_duration_eth_getCode_success {quantile=0.95},435803.49999999977,551601.2749999994,1.2657109798338007,0.2356340036888076
system_disk_readbytes,179410952.5,142122213.5,0.7921601859841862,-0.23299165258796423
system_disk_readdata,179410952.5,142122213.5,0.7921601859841862,-0.23299165258796423
eth_db_chaindata_tables_level6,15194.0,19141.0,1.2597735948400683,0.23093201818294273
system_memory_pauses {quantile=0.9999},2097152.0,2621440.0,1.25,0.22314355131420976
system_memory_pauses {quantile=0.999},2097152.0,2621440.0,1.25,0.22314355131420976
system_memory_pauses {quantile=0.95},163840.0,131072.0,0.8,-0.2231435513142097
chain_account_hashes {quantile=0.95},4714158.0,3805141.0,0.8071729882621669,-0.21421727400343762
chain_account_hashes {quantile=0.9999},4714158.0,3805141.0,0.8071729882621669,-0.21421727400343762
chain_account_hashes {quantile=0.999},4714158.0,3805141.0,0.8071729882621669,-0.21421727400343762
chain_account_hashes {quantile=0.99},4714158.0,3805141.0,0.8071729882621669,-0.21421727400343762
pathdb_dirty_node_miss,636.0,516.0,0.8113207547169812,-0.20909179785855936
chain_write {quantile=0.75},235015.875,190923.375,0.8123850144165793,-0.2077808955113025
pathdb_clean_node_hit,615.0,500.0,0.8130081300813008,-0.20701416938432615
eth_db_chaindata_memory_manualalloc,30010768.5,24451263.5,0.8147496622753929,-0.20487437577772427
txpool_reheap {quantile=0.5},1245.0,1029.5,0.8269076305220884,-0.19006228243096382
pathdb_lookup_remove_time {quantile=0.75},26013.5,31431.5,1.2082764718319334,0.18919494073701368
pathdb_lookup_remove_time {quantile=0.95},26013.5,31431.5,1.2082764718319334,0.18919494073701368
pathdb_lookup_remove_time {quantile=0.9999},26013.5,31431.5,1.2082764718319334,0.18919494073701368
pathdb_lookup_remove_time {quantile=0.999},26013.5,31431.5,1.2082764718319334,0.18919494073701368
pathdb_lookup_remove_time {quantile=0.99},26013.5,31431.5,1.2082764718319334,0.18919494073701368
rpc_duration_all {quantile=0.95},466267.4499999998,563372.4999999998,1.2082604093423206,0.18918164692822623
txpool_reheap {quantile=0.75},1502.25,1249.5,0.8317523714428358,-0.18422051293903025
chain_validation {quantile=0.5},97353.25,81812.25,0.8403648568486414,-0.1739191280576657
system_memory_objects,367564976.0,309457324.0,0.8419118909740737,-0.17207991276382983
chain_crossvalidation {quantile=0.5},136.25,161.25,1.18348623853211,0.1684645221325284
system_memory_used,385515576.0,325948204.0,0.8454864713429893,-0.16784311154858356
