config,trie_type,group_depth,pebble_block_size_kb,benchmark,run,block_number,gas_used,tx_count,execution_ms,state_read_ms,state_hash_ms,commit_ms,total_ms,mgas_per_sec,accounts_read,storage_slots_read,code_read,code_bytes_read,accounts_written,accounts_deleted,storage_slots_written,storage_slots_deleted,code_written,code_bytes_written,account_cache_hits,account_cache_misses,account_cache_hit_rate,storage_cache_hits,storage_cache_misses,storage_cache_hit_rate,code_cache_hits,code_cache_misses,code_cache_hit_rate,code_cache_hit_bytes,code_cache_miss_bytes
pbt,bintrie,8,4,erc20_balanceof,4,11672,0,0,0.0301,0.8114,0.1706,0.3763,1.5517,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,8,4,erc20_balanceof,4,11673,83734,2,0.1046,1.3303,1.9006,7.7149,11.2149,7.4663,11,0,0,0,3,0,0,0,1,78,5,6,45.45,0,0,0,0,0,0,0,0
pbt,bintrie,8,4,erc20_balanceof,4,11674,16697392,1,145.2961,806.8156,1.3957,14.9534,968.6529,17.2377,8,6128,2,1422,3,0,1,0,0,0,3,5,37.5,2379,3749,38.82,2,0,100,1422,0
pbt,bintrie,8,4,erc20_balanceof,4,11675,33361518,2,302.1455,1584.1966,25.0237,22.931,1934.4779,17.2457,8,12257,2,1422,3,0,1,0,0,0,3,5,37.5,3365,8892,27.45,2,0,100,1422,0
pbt,bintrie,8,4,erc20_balanceof,4,11676,33361518,2,301.1622,1592.0234,6.0852,23.8489,1923.3083,17.3459,8,12257,2,1422,3,0,1,0,0,0,4,4,50,4012,8245,32.73,2,0,100,1422,0
pbt,bintrie,8,4,erc20_balanceof,4,11677,16017344,1,134.8092,742.3225,5.9103,14.8862,898.1596,17.8335,8,5884,2,1422,3,0,1,0,0,0,3,5,37.5,2292,3592,38.95,2,0,100,1422,0
pbt,bintrie,8,4,erc20_balanceof,4,11678,21000,1,0.0502,0.6213,5.1425,5.104,11.0808,1.8952,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,8,4,erc20_balanceof,5,11679,0,0,0.0475,1.1794,0.5994,1.02,3.6227,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,8,4,erc20_balanceof,5,11680,83734,2,0.0735,0.8075,1.5029,15.1755,17.7065,4.729,11,0,0,0,3,0,0,0,1,78,5,6,45.45,0,0,0,0,0,0,0,0
pbt,bintrie,8,4,erc20_balanceof,5,11681,16697392,1,141.3977,788.0371,1.6929,16.4581,947.7938,17.6171,8,6128,2,1422,3,0,1,0,0,0,2,6,25,2648,3480,43.21,2,0,100,1422,0
pbt,bintrie,8,4,erc20_balanceof,5,11682,33361518,2,292.2107,1548.1207,27.8805,25.1794,1893.7071,17.617,8,12257,2,1422,3,0,1,0,0,0,4,4,50,3678,8579,30.01,2,0,100,1422,0
pbt,bintrie,8,4,erc20_balanceof,5,11683,33361518,2,299.1732,1607.8371,5.8392,21.9844,1935.0311,17.2408,8,12257,2,1422,3,0,1,0,0,0,3,5,37.5,3634,8623,29.65,2,0,100,1422,0
pbt,bintrie,8,4,erc20_balanceof,5,11684,16017344,1,137.0985,772.7905,5.1777,15.5793,930.8347,17.2075,8,5884,2,1422,3,0,1,0,0,0,4,4,50,2835,3049,48.18,2,0,100,1422,0
pbt,bintrie,8,4,erc20_balanceof,5,11685,21000,1,0.0548,0.6509,27.8548,7.2639,36.0131,0.5831,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,8,4,erc20_balanceof,6,11686,0,0,0.0283,1.004,0.1653,0.3128,1.6458,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,8,4,erc20_balanceof,6,11687,83734,2,0.0793,1.0022,1.4478,7.7497,10.4439,8.0175,11,0,0,0,3,0,0,0,1,78,5,6,45.45,0,0,0,0,0,0,0,0
pbt,bintrie,8,4,erc20_balanceof,6,11688,16697392,1,153.9341,778.1694,1.259,14.3742,948.0127,17.613,8,6128,2,1422,3,0,1,0,0,0,3,5,37.5,3445,2683,56.22,2,0,100,1422,0
pbt,bintrie,8,4,erc20_balanceof,6,11689,33361518,2,291.5257,1530.847,12.3462,32.2378,1867.1223,17.8679,8,12257,2,1422,3,0,1,0,0,0,3,5,37.5,3888,8369,31.72,2,0,100,1422,0
pbt,bintrie,8,4,erc20_balanceof,6,11690,33361518,2,290.6961,1544.1533,5.3596,24.2841,1864.694,17.8911,8,12257,2,1422,3,0,1,0,0,0,0,8,0,3760,8497,30.68,2,0,100,1422,0
pbt,bintrie,8,4,erc20_balanceof,6,11691,16017344,1,132.2618,723.1494,5.1892,15.4316,876.2364,18.2797,8,5884,2,1422,3,0,1,0,0,0,3,5,37.5,2483,3401,42.2,2,0,100,1422,0
pbt,bintrie,8,4,erc20_balanceof,6,11692,21000,1,0.0571,0.8465,1.0745,2.7217,7.116,2.9511,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,8,4,erc20_balanceof,7,11693,0,0,0.0277,0.8121,0.1725,0.3455,1.5429,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,8,4,erc20_balanceof,7,11694,83734,2,0.1165,1.2713,13.4777,7.9779,23.0514,3.6325,11,0,0,0,3,0,0,0,1,78,5,6,45.45,0,0,0,0,0,0,0,0
pbt,bintrie,8,4,erc20_balanceof,7,11695,16697392,1,150.0005,781.9028,1.4959,15.2473,948.7995,17.5984,8,6128,2,1422,3,0,1,0,0,0,2,6,25,2607,3521,42.54,2,0,100,1422,0
pbt,bintrie,8,4,erc20_balanceof,7,11696,33361518,2,290.8923,1601.5746,12.4073,33.7502,1938.8736,17.2066,8,12257,2,1422,3,0,1,0,0,0,4,4,50,3300,8957,26.92,2,0,100,1422,0
pbt,bintrie,8,4,erc20_balanceof,7,11697,33361518,2,321.0264,1627.402,5.2365,28.6509,1982.5359,16.8277,8,12257,2,1422,3,0,1,0,0,0,4,4,50,3239,9018,26.43,2,0,100,1422,0
pbt,bintrie,8,4,erc20_balanceof,7,11698,16017344,1,133.3323,729.1281,5.2906,15.4982,883.4461,18.1305,8,5884,2,1422,3,0,1,0,0,0,3,5,37.5,2104,3780,35.76,2,0,100,1422,0
pbt,bintrie,8,4,erc20_balanceof,7,11699,21000,1,0.0581,0.7741,1.0794,2.7465,4.784,4.3896,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,8,4,erc20_balanceof,8,11700,0,0,0.0294,0.9569,0.171,0.3636,1.6873,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,8,4,erc20_balanceof,8,11701,83734,2,0.0986,1.1633,25.5809,20.0578,47.0999,1.7778,11,0,0,0,3,0,0,0,1,78,5,6,45.45,0,0,0,0,0,0,0,0
pbt,bintrie,8,4,erc20_balanceof,8,11702,16697392,1,141.8802,749.2379,1.3644,14.4985,907.1773,18.4059,8,6128,2,1422,3,0,1,0,0,0,2,6,25,3439,2689,56.12,2,0,100,1422,0
pbt,bintrie,8,4,erc20_balanceof,8,11703,33361518,2,286.015,1507.7935,40.3331,24.6192,1858.9747,17.9462,8,12257,2,1422,3,0,1,0,0,0,4,4,50,3307,8950,26.98,2,0,100,1422,0
pbt,bintrie,8,4,erc20_balanceof,8,11704,33361518,2,277.0336,1402.7295,5.6331,22.552,1708.1631,19.5306,8,12257,2,1422,3,0,1,0,0,0,3,5,37.5,3360,8897,27.41,2,0,100,1422,0
pbt,bintrie,8,4,erc20_balanceof,8,11705,16017344,1,115.5911,671.5069,10.9066,24.2921,825.8733,19.3944,8,5884,2,1422,3,0,1,0,0,0,4,4,50,2739,3145,46.55,2,0,100,1422,0
pbt,bintrie,8,4,erc20_balanceof,8,11706,21000,1,0.0454,0.4658,0.9087,2.6321,4.1853,5.0176,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,8,4,erc20_balanceof,9,11707,0,0,0.0332,0.7362,0.1508,0.3023,1.3917,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,8,4,erc20_balanceof,9,11708,83734,2,0.0709,0.7312,1.6196,7.9857,10.5946,7.9034,11,0,0,0,3,0,0,0,1,78,5,6,45.45,0,0,0,0,0,0,0,0
pbt,bintrie,8,4,erc20_balanceof,9,11709,16697392,1,157.7724,767.377,1.2423,13.8317,940.6501,17.7509,8,6128,2,1422,3,0,1,0,0,0,1,7,12.5,2487,3641,40.58,2,0,100,1422,0
pbt,bintrie,8,4,erc20_balanceof,9,11710,33361518,2,320.0851,1620.7365,7.8989,31.0454,1979.9636,16.8496,8,12257,2,1422,3,0,1,0,0,0,4,4,50,3455,8802,28.19,2,0,100,1422,0
pbt,bintrie,8,4,erc20_balanceof,9,11711,33361518,2,294.6696,1521.029,5.6768,23.2421,1844.8253,18.0838,8,12257,2,1422,3,0,1,0,0,0,0,8,0,3343,8914,27.27,2,0,100,1422,0
pbt,bintrie,8,4,erc20_balanceof,9,11712,16017344,1,124.9432,711.394,5.8611,19.4935,861.9441,18.5828,8,5884,2,1422,3,0,1,0,0,0,3,5,37.5,3053,2831,51.89,2,0,100,1422,0
pbt,bintrie,8,4,erc20_balanceof,9,11713,21000,1,0.0542,0.6095,0.8546,2.8058,4.497,4.6698,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,8,4,erc20_balanceof,10,11714,0,0,0.0262,0.8452,0.1262,0.3365,1.4864,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,8,4,erc20_balanceof,10,11715,83734,2,0.0737,0.8549,1.6025,7.5603,10.2374,8.1792,11,0,0,0,3,0,0,0,1,78,5,6,45.45,0,0,0,0,0,0,0,0
pbt,bintrie,8,4,erc20_balanceof,10,11716,16697392,1,138.1542,727.2969,14.3931,13.8118,894.0288,18.6766,8,6128,2,1422,3,0,1,0,0,0,3,5,37.5,2890,3238,47.16,2,0,100,1422,0
pbt,bintrie,8,4,erc20_balanceof,10,11717,33361518,2,304.4772,1540.1664,5.4408,21.5146,1871.7994,17.8232,8,12257,2,1422,3,0,1,0,0,0,4,4,50,4006,8251,32.68,2,0,100,1422,0
pbt,bintrie,8,4,erc20_balanceof,10,11718,33361518,2,297.5686,1509.48,5.3155,21.768,1834.3464,18.1871,8,12257,2,1422,3,0,1,0,0,0,4,4,50,3970,8287,32.39,2,0,100,1422,0
pbt,bintrie,8,4,erc20_balanceof,10,11719,16017344,1,125.1558,682.8218,7.4116,18.0924,833.7026,19.2123,8,5884,2,1422,3,0,1,0,0,0,4,4,50,2794,3090,47.48,2,0,100,1422,0
pbt,bintrie,8,4,erc20_balanceof,10,11720,21000,1,0.0504,0.6182,0.8462,2.7187,4.3563,4.8206,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
