config,trie_type,group_depth,pebble_block_size_kb,benchmark,run,block_number,gas_used,tx_count,execution_ms,state_read_ms,state_hash_ms,commit_ms,total_ms,mgas_per_sec,accounts_read,storage_slots_read,code_read,code_bytes_read,accounts_written,accounts_deleted,storage_slots_written,storage_slots_deleted,code_written,code_bytes_written,account_cache_hits,account_cache_misses,account_cache_hit_rate,storage_cache_hits,storage_cache_misses,storage_cache_hit_rate,code_cache_hits,code_cache_misses,code_cache_hit_rate,code_cache_hit_bytes,code_cache_miss_bytes
pbt,bintrie,8,4,erc20_approve,5,11745,21000,1,0.0552,0.5828,6.1317,15.608,22.5237,0.9324,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,8,4,erc20_approve,6,11746,0,0,0.022,0.6127,0.1509,0.2898,1.229,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,8,4,erc20_approve,6,11747,83880,2,0.1055,0.9367,1.7344,8.3745,11.2898,7.4297,11,0,0,0,3,0,0,0,1,87,5,6,45.45,0,0,0,0,0,0,0,0
pbt,bintrie,8,4,erc20_approve,6,11748,66803360,4,94.7981,256.7176,701.059,171.03,1223.9422,54.5805,8,2913,2,1431,4,0,2913,0,0,0,3,5,37.5,446,2467,15.31,2,0,100,1431,0
pbt,bintrie,8,4,erc20_approve,6,11749,32731483,2,43.0853,112.7494,346.7059,70.411,573.1718,57.1059,8,1428,2,1431,4,0,1428,0,0,0,4,4,50,562,866,39.36,2,0,100,1431,0
pbt,bintrie,8,4,erc20_approve,6,11750,21000,1,0.0833,0.938,6.0043,4.8721,12.1387,1.73,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,8,4,erc20_approve,7,11751,0,0,0.0294,0.6223,0.1622,0.2804,1.2189,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,8,4,erc20_approve,7,11752,83880,2,0.075,0.7431,1.7419,7.5991,10.3735,8.086,11,0,0,0,3,0,0,0,1,87,5,6,45.45,0,0,0,0,0,0,0,0
pbt,bintrie,8,4,erc20_approve,7,11753,66803360,4,100.3528,245.2558,646.4149,170.8728,1163.2179,57.4298,8,2913,2,1431,4,0,2913,0,0,0,2,6,25,569,2344,19.53,2,0,100,1431,0
pbt,bintrie,8,4,erc20_approve,7,11754,32731483,2,40.3401,109.0418,334.0698,67.8016,551.4485,59.3555,8,1428,2,1431,4,0,1428,0,0,0,4,4,50,250,1178,17.51,2,0,100,1431,0
